he2022

30

pe

wavel  k
5.6864300058  n  0.01384
5.6930000102  n  0.01427
5.6995600054  n  0.015
5.7061299916  n  0.01572
5.7126900131  n  0.01665
5.7192599998  n  0.01718
5.7258200024  n  0.01819
5.7323900105  n  0.01915
5.7389500162  n  0.02026
5.7455200026  n  0.02128
5.7520899946  n  0.02228
5.7586499919  n  0.02351
5.7652200165  n  0.02459
5.771779998  n  0.02599
5.7783499834  n  0.02756
5.7849100113  n  0.02874
5.791479987  n  0.03026
5.7980500103  n  0.03155
5.8046099899  n  0.03316
5.8111800014  n  0.035
5.8177399915  n  0.03645
5.824309992  n  0.0381
5.8308699948  n  0.03967
5.837439987  n  0.04133
5.8440100133  n  0.04272
5.850569995  n  0.04403
5.8571399863  n  0.04534
5.8636999941  n  0.04689
5.8702699918  n  0.0481
5.8768300001  n  0.0495
5.8834000133  n  0.05093
5.889969989  n  0.05217
5.8965300029  n  0.05339
5.9031000112  n  0.0542
5.9096599852  n  0.05516
5.916230005  n  0.05635
5.9227899885  n  0.05722
5.9293600004  n  0.05826
5.935930017  n  0.05887
5.9424899961  n  0.05984
5.9490599959  n  0.05986
5.9556199943  n  0.0607
5.962189997  n  0.06124
5.9687500006  n  0.06139
5.9753199924  n  0.06175
5.9818900075  n  0.06226
5.9884499927  n  0.06259
5.9950199968  n  0.06285
6.001580012  n  0.0628
6.0081499954  n  0.06319
6.0147099958  n  0.06317
6.0212799862  n  0.06301
6.0278499931  n  0.06315
6.034409992  n  0.06306
6.0409800149  n  0.06331
6.0475400022  n  0.06363
6.0541100006  n  0.0632
6.0606700099  n  0.06288
6.0672400176  n  0.06267
6.0738000107  n  0.06243
6.08036999  n  0.06187
6.0869400076  n  0.06101
6.0934999923  n  0.06029
6.1000700014  n  0.05948
6.1066299914  n  0.05893
6.1131999949  n  0.0581
6.1197599945  n  0.05699
6.1263299971  n  0.05659
6.132900017  n  0.05611
6.1394599823  n  0.05554
6.1460299922  n  0.05479
6.1525900032  n  0.05438
6.1591600118  n  0.05392
6.1657200026  n  0.0533
6.1722899819  n  0.05301
6.1788600043  n  0.05262
6.1854200014  n  0.0519
6.1919899934  n  0.05203
6.1985499819  n  0.05185
6.2051199959  n  0.05108
6.2116799908  n  0.05098
6.2182500041  n  0.05057
6.2248199807  n  0.05035
